tSNE_1,tSNE_2,KMeans_Profile,Customer_Profile
2.8953235,-3.799991,3,3
4.854237,42.237648,1,5
-20.7587,44.206608,1,5
-28.599003,28.240452,1,5
67.6644,-3.4484842,2,2
-5.8980913,11.27024,1,5
32.920998,1.9648426,3,3
20.118183,-33.578648,3,2
40.313805,9.694877,1,3
4.8678126,43.5371,1,5
-51.47449,-29.846704,0,4
40.87627,-32.950474,3,2
-59.133938,-17.938276,0,4
13.409562,38.55006,1,5
18.586145,-35.05259,3,3
61.6872,-16.864792,2,2
-54.185577,-32.42546,0,4
64.347534,-17.43611,2,2
24.518763,-5.9741836,3,3
-16.062347,-46.199932,0,4
50.74099,-16.388107,2,2
28.099638,9.860251,1,3
57.362247,1.7189963,2,2
37.06812,-13.542493,3,3
33.759148,-0.5096664,3,3
-48.424675,36.89833,1,1
-2.3407989,-42.618984,0,3
-49.53901,-11.412704,0,1
-19.599855,43.277317,1,1
-9.373652,66.454094,1,1
44.7945,-32.23688,3,2
-16.662334,-0.6643258,0,3
-0.010738095,-16.966,3,3
-20.841475,-38.9672,0,3
-35.25181,22.231178,1,1
-8.179783,-17.000025,1,5
81.18801,-0.643113,2,2
82.48911,-13.974486,2,2
-2.2438731,47.851192,1,1
14.747939,-20.188301,3,3
80.04563,-15.417291,2,2
42.74211,-33.070225,3,2
24.127684,2.5855675,3,3
-5.644239,-34.561665,0,3
52.035324,-5.9665174,2,2
21.47217,-24.700073,3,3
9.107141,65.558525,1,1
-3.0830996,-28.709007,3,4
-17.081226,-46.650887,0,4
2.5557773,16.887556,1,5
72.80775,-3.6503782,2,2
-25.012926,-49.417988,0,4
-35.729973,-45.93432,0,4
35.22474,-9.868659,3,2
18.49979,-33.89569,3,3
-23.110664,-50.443672,0,3
16.44902,-16.23295,3,3
-43.325855,-46.04632,0,4
0.31910652,50.248604,1,5
53.98987,-10.526704,2,2
85.98305,-8.869354,2,2
-48.39637,-5.571339,0,4
65.216545,-21.51522,2,2
-1.4405106,47.149277,1,5
0.044212457,14.864212,1,5
72.34652,-15.22877,2,2
70.18137,-7.878343,2,2
-21.14436,-47.51737,0,4
-50.86332,33.190582,1,1
